X,Y,fid,NR,E,N,H,Aufnahmedatum,Abgabedatum,Bemerkungen,Wald/Gebüsch,Antennen,icon_url,Status
9.91766907210149,46.5686363516879,1,1360x127,2790031.04,1160486.38,1686.51,,,,0,,./0.png,
9.91339988929284,46.5705537600289,2,1360x128,2789697.17,1160689.09,1687.05,,,,,,./0.png,
9.90983374236776,46.57215485228,3,1360x129,2789418.3,1160858.37,1808.38,,,,,,./0.png,
9.90734847214636,46.5732686839083,4,1360x130,2789223.97,1160976.13,1945.77,,,,,,./0.png,
9.9048464296018,46.574391822719,5,1360x131,2789028.33,1161094.89,2072.22,,,,,,./0.png,
9.90262569712959,46.5753894685231,6,1360x132,2788854.69,1161200.39,2190.41,,,,,,./0.png,
9.90073352037725,46.5772441391663,7,1360x133,2788703.24,1161401.91,2268.77,,,,,,./0.png,
9.89809416433431,46.5798317884239,8,1360x134,2788492,1161683.08,2238.02,,,,,,./0.png,
9.89651398485032,46.5813810134947,9,1360x135,2788365.54,1161851.42,2224.97,,,,,,./0.png,
9.89464605704271,46.5832096689031,10,1360x136,2788216.07,1162050.12,2214.81,,,,,,./0.png,
9.89063205783905,46.5839373483438,11,1360x137,2787906.03,1162121.35,2243.73,,,,,,./0.png,
9.8881026904259,46.5843948701498,12,1360x138,2787710.67,1162166.13,2254.07,,,,,,./0.png,
9.88348615057514,46.5852303980958,13,1360x139,2787354.11,1162247.93,2229.21,,,,,,./0.png,
9.87999066985092,46.585860779005,14,1360x140,2787084.15,1162309.63,2251.16,,,,,,./0.png,
9.87731674417696,46.585354296004,15,1360x141,2786881.06,1162246.98,2309.81,,,,,,./0.png,
9.87368408018203,46.5846648830099,16,1360x142,2786605.15,1162161.73,2345.55,,,,,,./0.png,
9.87132410869265,46.5842170589554,17,1360x143,2786425.9,1162106.36,2384.12,,,,,,./0.png,
9.86479295485187,46.5829789517845,18,1360x144,2785929.81,1161953.29,2367.48,,,,,,./0.png,
9.86141532555664,46.5823369923292,19,1360x145,2785673.25,1161873.96,2359.65,,,,,,./0.png,
9.85656588190917,46.5814187092745,20,1360x146,2785304.87,1161760.46,2388.79,,,,,,./0.png,
9.85260767811912,46.5811754681178,21,1360x147,2785002.45,1161724.09,2375.66,,,,,1,./0.png,
9.84677735432184,46.5808224390658,22,1360x148,2784556.97,1161671.13,2381.74,,,,,,./0.png,
9.84412029807353,46.5806612337571,23,1360x149,2784353.95,1161646.97,2405.01,,,,,,./0.png,
9.83933139916414,46.5803697614981,24,1360x150,2783988.04,1161603.34,2348.2,,,,,,./0.png,
9.83510316673141,46.5801110947297,25,1360x151,2783664.97,1161564.69,2309.86,,,,,,./0.png,
9.82978685867784,46.5797880361126,26,1360x152,2783258.75,1161516.36,2250.37,,,,,,./0.png,
9.8255068937928,46.5795288422759,27,1360x153,2782931.71,1161477.57,2225.15,,,,,,./0.png,
9.82156637939838,46.5794189718269,28,1360x154,2782630.17,1161456.18,2222.28,,,,,1,./0.png,
9.81790957714699,46.5793196795329,29,1360x155,2782350.33,1161436.64,2209,,,,,,./0.png,
